,580
320,2399
320,2400
320,2401
320,2402
320,2403
320,2404
320,2405
320,2406
320,2407
320,2408
320,2409
320,2410
320,2411
320,2412
319,2413
319,2414
319,2415
320,2416
320,2417
320,2418
320,2419
320,2420
320,2421
320,2422
320,2423
320,2424
320,2425
320,2426
320,2427
320,2428
320,2429
320,2430
319,2432
319,2433
319,2434
319,2435
319,2436
319,2437
319,2438
319,2439
319,2440
320,2441
319,2442
320,2443
320,2443
320,2444
320,2445
320,2446
320,2447
320,2448
320,2449
320,2450
319,2451
319,2452
319,2453
319,2454
319,2455
319,2456
319,2457
319,2458
320,2459
320,2460
320,2461
320,2462
320,2463
320,2464
320,2465
320,2466
320,2467
319,2468
319,2469
319,2470
319,2471
319,2472
319,2473
319,2475
319,2476
319,2477
319,2478
319,2479
319,2480
319,2481
319,2482
319,2483
320,2484
320,2485
320,2486
320,2487
319,2488
319,2489
319,2490
319,2491
319,2492
319,2493
319,2494
319,2495
319,2495
319,2496
319,2497
319,2498
320,2499
319,2500
320,2501
320,2502
320,2503
320,2504
320,2505
320,2506
319,2507
320,2508
319,2509
319,2510
319,2511
319,2512
319,2513
319,2514
319,2515
319,2516
319,2518
319,2519
319,2520
319,2521
319,2522
319,2523
319,2524
319,2525
319,2526
319,2527
319,2528
319,2529
319,2530
319,2531
319,2532
319,2533
318,2534
319,2535
319,2536
319,2537
319,2538
319,2539
319,2540
319,2541
319,2542
319,2543
319,2544
319,2545
319,2546
319,2546
319,2547
319,2548
319,2549
319,2550
319,2551
319,2552
319,2553
319,2554
319,2555
319,2556
319,2557
319,2558
319,2560
319,2561
319,2562
319,2563
319,2564
319,2565
319,2566
319,2567
319,2568
318,2569
319,2570
319,2571
318,2572
318,2573
318,2574
318,2575
319,2576
318,2577
319,2578
319,2579
319,2580
319,2581
319,2582
319,2583
319,2584
319,2585
319,2586
319,2587
319,2588
319,2589
319,2590
319,2591
319,2592
319,2593
318,2594
318,2595
318,2596
318,2597
318,2597
318,2598
318,2599
318,2600
319,2601
318,2603
318,2604
319,2605
319,2606
319,2607
319,2608
319,2609
318,2610
319,2611
318,2612
318,2613
318,2614
318,2615
318,2616
318,2617
318,2618
319,2619
319,2620
319,2621
319,2622
319,2623
319,2624
319,2625
319,2626
319,2627
319,2628
319,2629
318,2630
318,2631
318,2632
318,2633
318,2634
318,2635
318,2636
318,2637
318,2638
318,2639
318,2640
318,2641
318,2642
318,2643
318,2644
318,2646
318,2647
318,2648
318,2649
318,2650
318,2650
318,2651
318,2652
318,2653
318,2654
318,2655
318,2656
318,2657
318,2658
318,2659
318,2660
318,2661
318,2662
318,2663
318,2664
318,2665
318,2666
318,2667
318,2668
318,2669
318,2670
317,2671
317,2672
317,2673
317,2674
317,2675
317,2676
317,2677
317,2678
317,2679
317,2680
317,2681
318,2682
318,2683
317,2684
318,2685
317,2686
317,2688
318,2689
317,2690
317,2691
317,2692
317,2693
317,2694
317,2695
317,2696
317,2697
317,2698
317,2699
317,2700
317,2701
317,2701
317,2702
317,2703
318,2704
317,2705
318,2706
317,2707
317,2708
317,2709
317,2710
317,2711
317,2712
317,2713
317,2714
317,2715
317,2716
317,2717
318,2718
318,2719
318,2720
317,2721
317,2722
318,2723
318,2724
318,2725
318,2726
317,2727
317,2728
318,2729
318,2731
317,2732
317,2733
317,2734
317,2735
317,2736
317,2737
317,2738
317,2739
317,2740
317,2741
317,2742
317,2743
318,2744
318,2745
318,2746
318,2747
317,2748
318,2749
317,2750
317,2751
317,2752
317,2752
317,2753
317,2754
317,2755
317,2756
317,2757
317,2758
317,2759
317,2760
317,2761
317,2762
317,2763
317,2764
317,2765
317,2766
317,2767
317,2768
317,2769
317,2770
317,2771
317,2772
316,2774
317,2775
317,2776
317,2777
316,2778
317,2779
317,2780
317,2781
317,2782
317,2783
317,2784
317,2785
